score,opponent_score,best_roll,win_prob
0,0,4,0.500273
0,1,6,0.519549
0,2,7,0.524924
0,3,6,0.509891
0,4,6,0.512496
0,5,5,0.492355
0,6,9,0.511070
0,7,0,0.483843
0,8,0,0.485697
0,9,0,0.491590
0,10,3,0.458454
0,11,4,0.458626
0,12,4,0.453625
0,13,9,0.463807
0,14,2,0.430154
0,15,6,0.464618
0,16,5,0.434740
0,17,6,0.441312
0,18,0,0.505024
0,19,0,0.476330
0,20,7,0.421829
0,21,4,0.381354
0,22,3,0.400273
0,23,3,0.394055
0,24,3,0.387122
0,25,3,0.382620
0,26,3,0.374146
0,27,8,0.393420
0,28,5,0.368011
0,29,0,0.357396
0,30,4,0.350857
0,31,3,0.335030
0,32,4,0.344930
0,33,4,0.317112
0,34,4,0.344443
0,35,4,0.301955
0,36,4,0.313054
0,37,7,0.310467
0,38,5,0.301421
0,39,0,0.316282
0,40,5,0.277942
0,41,5,0.292595
0,42,7,0.239593
0,43,5,0.262036
0,44,5,0.261093
0,45,5,0.246435
0,46,6,0.251796
0,47,5,0.224828
0,48,6,0.246781
0,49,0,0.219176
0,50,6,0.215569
0,51,6,0.207511
0,52,6,0.200314
0,53,5,0.200124
0,54,6,0.178726
0,55,6,0.195304
0,56,0,0.147178
0,57,6,0.163786
0,58,7,0.170636
0,59,6,0.146062
0,60,7,0.154292
0,61,6,0.129210
0,62,7,0.151477
0,63,4,0.106623
0,64,7,0.127088
0,65,7,0.119390
0,66,8,0.112837
0,67,7,0.109833
0,68,8,0.103552
0,69,8,0.103372
0,70,7,0.065991
0,71,8,0.081683
0,72,8,0.082009
0,73,8,0.070513
0,74,9,0.072994
0,75,8,0.055424
0,76,9,0.069908
0,77,7,0.039892
0,78,9,0.053658
0,79,8,0.047619
0,80,9,0.047228
0,81,9,0.041384
0,82,10,0.036474
0,83,9,0.036535
0,84,0,0.018649
0,85,9,0.026795
0,86,10,0.026601
0,87,10,0.018964
0,88,10,0.020457
0,89,10,0.011722
0,90,10,0.013665
0,91,0,0.007919
0,92,10,0.007658
0,93,0,0.007051
0,94,10,0.004749
0,95,5,0.001160
0,96,10,0.003010
0,97,0,0.000000
0,98,0,-0.000000
0,99,1,-0.000000
1,0,6,0.521648
1,1,6,0.521967
1,2,6,0.514918
1,3,7,0.526807
1,4,5,0.510015
1,5,9,0.527477
1,6,0,0.484515
1,7,8,0.496517
1,8,8,0.494570
1,9,0,0.470121
1,10,7,0.474295
1,11,0,0.459388
1,12,10,0.470002
1,13,6,0.458631
1,14,5,0.450317
1,15,0,0.459163
1,16,0,0.520907
1,17,5,0.438454
1,18,0,0.460964
1,19,7,0.431247
1,20,3,0.398924
1,21,5,0.405931
1,22,3,0.404475
1,23,3,0.394929
1,24,3,0.398264
1,25,3,0.377639
1,26,6,0.395197
1,27,0,0.373616
1,28,0,0.392131
1,29,0,0.435100
1,30,4,0.350402
1,31,5,0.348777
1,32,4,0.335856
1,33,6,0.350355
1,34,5,0.306763
1,35,4,0.320225
1,36,4,0.343827
1,37,5,0.308497
1,38,0,0.341473
1,39,0,0.302704
1,40,5,0.309190
1,41,4,0.253270
1,42,5,0.278068
1,43,5,0.268807
1,44,5,0.265923
1,45,5,0.258523
1,46,5,0.249103
1,47,6,0.257060
1,48,0,0.215924
1,49,0,0.219620
1,50,6,0.222634
1,51,6,0.203993
1,52,6,0.216184
1,53,5,0.187415
1,54,6,0.211655
1,55,4,0.156581
1,56,6,0.182166
1,57,6,0.169477
1,58,7,0.165274
1,59,0,0.177469
1,60,7,0.142440
1,61,6,0.157042
1,62,4,0.112372
1,63,6,0.133296
1,64,7,0.132529
1,65,7,0.120407
1,66,8,0.122260
1,67,7,0.101053
1,68,8,0.117106
1,69,0,0.095433
1,70,8,0.095150
1,71,7,0.086750
1,72,8,0.082047
1,73,7,0.078233
1,74,8,0.070291
1,75,8,0.074501
1,76,0,0.042560
1,77,8,0.055757
1,78,9,0.058877
1,79,8,0.048981
1,80,9,0.051358
1,81,0,0.044143
1,82,9,0.045611
1,83,0,0.029877
1,84,9,0.033728
1,85,9,0.028374
1,86,10,0.028542
1,87,9,0.020615
1,88,10,0.021126
1,89,10,0.016519
1,90,0,0.009409
1,91,10,0.010415
1,92,10,0.010926
1,93,10,0.004103
1,94,10,0.006007
1,95,5,0.001205
1,96,10,0.004370
1,97,1,0.000000
1,98,10,0.003010
1,99,1,-0.000000
2,0,7,0.534186
2,1,5,0.520746
2,2,6,0.532580
2,3,5,0.509207
2,4,8,0.531897
2,5,6,0.495371
2,6,8,0.521972
2,7,0,0.506640
2,8,0,0.506790
2,9,0,0.514273
2,10,3,0.463791
2,11,10,0.490786
2,12,1,0.446177
2,13,4,0.455461
2,14,0,0.527696
2,15,5,0.453925
2,16,5,0.456962
2,17,0,0.433805
2,18,5,0.445628
2,19,0,0.430433
2,20,2,0.415520
2,21,5,0.413515
2,22,2,0.411069
2,23,5,0.406932
2,24,3,0.391116
2,25,7,0.406530
2,26,4,0.365062
2,27,5,0.379362
2,28,3,0.380224
2,29,0,0.364830
2,30,3,0.363950
2,31,3,0.341299
2,32,4,0.364417
2,33,3,0.314901
2,34,4,0.338815
2,35,4,0.328953
2,36,4,0.324225
2,37,0,0.395238
2,38,0,0.327080
2,39,5,0.311302
2,40,6,0.267810
2,41,4,0.286184
2,42,5,0.285391
2,43,5,0.266796
2,44,5,0.274426
2,45,5,0.258970
2,46,5,0.271978
2,47,0,0.238431
2,48,0,0.250457
2,49,0,0.240172
2,50,5,0.220762
2,51,5,0.216285
2,52,6,0.202262
2,53,5,0.219696
2,54,8,0.164989
2,55,5,0.188492
2,56,6,0.186887
2,57,6,0.178292
2,58,6,0.173581
2,59,0,0.157755
2,60,7,0.171281
2,61,4,0.121366
2,62,7,0.145867
2,63,6,0.137784
2,64,7,0.136079
2,65,6,0.125420
2,66,7,0.121381
2,67,7,0.122221
2,68,0,0.091070
2,69,7,0.096335
2,70,8,0.098412
2,71,7,0.086734
2,72,8,0.091441
2,73,7,0.070299
2,74,8,0.086353
2,75,0,0.057184
2,76,8,0.065211
2,77,7,0.057316
2,78,9,0.055221
2,79,0,0.056429
2,80,0,0.049633
2,81,8,0.048598
2,82,0,0.028629
2,83,8,0.034493
2,84,9,0.033759
2,85,9,0.026061
2,86,10,0.029927
2,87,0,0.022911
2,88,10,0.023222
2,89,0,0.013673
2,90,10,0.015985
2,91,0,0.010495
2,92,10,0.011475
2,93,0,0.010267
2,94,10,0.008119
2,95,0,0.005477
2,96,2,-0.000000
2,97,0,0.000000
2,98,10,0.004370
2,99,1,-0.000000
3,0,6,0.534509
3,1,5,0.533254
3,2,5,0.511312
3,3,7,0.541318
3,4,4,0.496341
3,5,8,0.515908
3,6,8,0.514677
3,7,0,0.513721
3,8,8,0.508273
3,9,7,0.502047
3,10,0,0.519283
3,11,0,0.457505
3,12,0,0.511361
3,13,0,0.469806
3,14,4,0.458484
3,15,5,0.459388
3,16,0,0.461794
3,17,0,0.483702
3,18,2,0.427765
3,19,0,0.425924
3,20,5,0.419163
3,21,5,0.414832
3,22,2,0.422852
3,23,2,0.403205
3,24,8,0.423831
3,25,3,0.380524
3,26,3,0.390720
3,27,5,0.385728
3,28,3,0.389320
3,29,0,0.401309
3,30,3,0.360636
3,31,6,0.368460
3,32,4,0.331359
3,33,5,0.347210
3,34,3,0.343898
3,35,4,0.328700
3,36,4,0.341234
3,37,5,0.308783
3,38,4,0.325104
3,39,0,0.310697
3,40,4,0.301248
3,41,4,0.292257
3,42,4,0.289062
3,43,5,0.280846
3,44,5,0.260361
3,45,5,0.272151
3,46,0,0.261664
3,47,5,0.242348
3,48,5,0.264021
3,49,0,0.230410
3,50,5,0.237695
3,51,5,0.205585
3,52,6,0.227175
3,53,6,0.179499
3,54,6,0.203989
3,55,5,0.194846
3,56,6,0.189415
3,57,6,0.179932
3,58,0,0.192585
3,59,5,0.173826
3,60,0,0.160307
3,61,5,0.150235
3,62,7,0.147121
3,63,6,0.140394
3,64,7,0.143196
3,65,6,0.126554
3,66,7,0.130380
3,67,0,0.110282
3,68,0,0.116766
3,69,0,0.102731
3,70,7,0.096898
3,71,7,0.091396
3,72,8,0.087444
3,73,0,0.089639
3,74,0,0.062238
3,75,7,0.068002
3,76,8,0.067552
3,77,7,0.061682
3,78,8,0.057751
3,79,7,0.046219
3,80,9,0.052717
3,81,0,0.039476
3,82,9,0.042819
3,83,8,0.035903
3,84,9,0.037374
3,85,9,0.030977
3,86,9,0.028506
3,87,9,0.024389
3,88,0,0.011057
3,89,9,0.010440
3,90,10,0.014297
3,91,10,0.011553
3,92,10,0.011461
3,93,9,0.004755
3,94,10,0.009717
3,95,6,0.000803
3,96,10,0.007838
3,97,0,0.000000
3,98,10,0.006008
3,99,0,0.000000
4,0,7,0.550552
4,1,5,0.524836
4,2,6,0.545948
4,3,5,0.503732
4,4,7,0.522596
4,5,8,0.520882
4,6,0,0.521960
4,7,0,0.521624
4,8,0,0.529559
4,9,7,0.506340
4,10,9,0.524045
4,11,10,0.492332
4,12,4,0.470177
4,13,4,0.465881
4,14,4,0.464174
4,15,4,0.462644
4,16,5,0.468179
4,17,0,0.451416
4,18,0,0.445928
4,19,0,0.444789
4,20,5,0.422151
4,21,6,0.422882
4,22,2,0.418365
4,23,7,0.428815
4,24,3,0.394726
4,25,0,0.415123
4,26,5,0.399788
4,27,0,0.398696
4,28,6,0.395954
4,29,0,0.442330
4,30,3,0.381396
4,31,3,0.341260
4,32,3,0.360028
4,33,5,0.347814
4,34,3,0.361629
4,35,3,0.334397
4,36,4,0.331168
4,37,0,0.353461
4,38,0,0.310408
4,39,0,0.319032
4,40,4,0.312678
4,41,4,0.296476
4,42,4,0.295139
4,43,4,0.273828
4,44,4,0.293753
4,45,0,0.232902
4,46,5,0.269511
4,47,5,0.255795
4,48,5,0.252934
4,49,0,0.281690
4,50,5,0.227677
4,51,5,0.236549
4,52,7,0.190049
4,53,0,0.218905
4,54,5,0.206792
4,55,5,0.195249
4,56,6,0.199144
4,57,5,0.177791
4,58,6,0.192007
4,59,0,0.166521
4,60,6,0.163719
4,61,5,0.153440
4,62,6,0.151994
4,63,5,0.140913
4,64,7,0.145574
4,65,6,0.140285
4,66,0,0.127392
4,67,6,0.115823
4,68,7,0.121143
4,69,7,0.102060
4,70,7,0.105247
4,71,7,0.084999
4,72,8,0.093772
4,73,0,0.073788
4,74,8,0.080338
4,75,7,0.069965
4,76,8,0.068807
4,77,7,0.059817
4,78,0,0.064526
4,79,7,0.050383
4,80,0,0.038715
4,81,8,0.044086
4,82,9,0.043775
4,83,8,0.033863
4,84,9,0.039157
4,85,8,0.026403
4,86,9,0.033860
4,87,0,0.018704
4,88,10,0.024031
4,89,0,0.014413
4,90,10,0.017486
4,91,0,0.013975
4,92,10,0.013683
4,93,9,0.004842
4,94,2,0.001057
4,95,4,0.001510
4,96,10,0.009721
4,97,0,0.000000
4,98,10,0.007838
4,99,1,-0.000000
5,0,6,0.539947
5,1,7,0.554849
5,2,2,0.505260
5,3,4,0.519857
5,4,7,0.523872
5,5,4,0.519926
5,6,7,0.525680
5,7,7,0.515023
5,8,0,0.518804
5,9,0,0.514463
5,10,6,0.480717
5,11,10,0.499099
5,12,10,0.538108
5,13,8,0.475055
5,14,4,0.469116
5,15,4,0.467953
5,16,0,0.471422
5,17,0,0.457505
5,18,5,0.456999
5,19,4,0.432577
5,20,6,0.428581
5,21,5,0.423501
5,22,1,0.431312
5,23,2,0.414800
5,24,2,0.414197
5,25,6,0.410269
5,26,2,0.405801
5,27,0,0.415353
5,28,0,0.550907
5,29,0,0.426864
5,30,3,0.357518
5,31,4,0.361314
5,32,3,0.364595
5,33,4,0.350138
5,34,3,0.356204
5,35,0,0.395069
5,36,3,0.339990
5,37,0,0.317478
5,38,4,0.327666
5,39,0,0.334926
5,40,4,0.311407
5,41,4,0.303226
5,42,4,0.296666
5,43,4,0.276258
5,44,0,0.259777
5,45,0,0.285838
5,46,4,0.271151
5,47,5,0.263873
5,48,0,0.266165
5,49,0,0.240331
5,50,5,0.244761
5,51,3,0.199706
5,52,0,0.229369
5,53,4,0.218665
5,54,5,0.213011
5,55,5,0.198377
5,56,5,0.195089
5,57,0,0.198436
5,58,0,0.178721
5,59,0,0.170830
5,60,6,0.168578
5,61,5,0.153850
5,62,6,0.155420
5,63,5,0.145142
5,64,6,0.143609
5,65,0,0.145605
5,66,7,0.129365
5,67,6,0.118906
5,68,7,0.117089
5,69,0,0.120130
5,70,7,0.104947
5,71,0,0.105044
5,72,0,0.075492
5,73,6,0.082196
5,74,7,0.080128
5,75,7,0.069337
5,76,8,0.064017
5,77,7,0.057587
5,78,8,0.056289
5,79,0,0.045077
5,80,8,0.048978
5,81,7,0.046791
5,82,8,0.038884
5,83,8,0.033426
5,84,9,0.036396
5,85,0,0.026369
5,86,0,0.016648
5,87,8,0.023492
5,88,9,0.020802
5,89,9,0.015814
5,90,0,0.014689
5,91,9,0.009362
5,92,10,0.013809
5,93,2,0.002211
5,94,10,0.012909
5,95,4,0.001588
5,96,10,0.011479
5,97,0,0.000000
5,98,10,0.009722
5,99,10,-0.000000
6,0,6,0.560328
6,1,5,0.524115
6,2,5,0.542476
6,3,6,0.534975
6,4,4,0.526483
6,5,8,0.528444
6,6,7,0.516826
6,7,7,0.532210
6,8,0,0.515485
6,9,0,0.506314
6,10,6,0.487093
6,11,9,0.478040
6,12,9,0.488639
6,13,8,0.505132
6,14,10,0.548972
6,15,5,0.472972
6,16,4,0.465524
6,17,0,0.462390
6,18,0,0.463894
6,19,0,0.475214
6,20,6,0.432902
6,21,6,0.431253
6,22,2,0.424638
6,23,6,0.421273
6,24,0,0.443819
6,25,0,0.454517
6,26,0,0.536212
6,27,0,0.424214
6,28,2,0.401268
6,29,0,0.389238
6,30,2,0.379493
6,31,4,0.366387
6,32,3,0.366354
6,33,4,0.356565
6,34,3,0.355522
6,35,3,0.343478
6,36,0,0.354819
6,37,6,0.326140
6,38,3,0.329778
6,39,0,0.332610
6,40,3,0.321310
6,41,4,0.296437
6,42,4,0.310960
6,43,0,0.274069
6,44,4,0.292847
6,45,4,0.277386
6,46,4,0.280259
6,47,0,0.262866
6,48,0,0.287402
6,49,0,0.249271
6,50,6,0.211688
6,51,0,0.245160
6,52,5,0.232175
6,53,4,0.219561
6,54,5,0.221083
6,55,4,0.201703
6,56,5,0.206434
6,57,0,0.183703
6,58,5,0.184200
6,59,0,0.174861
6,60,6,0.171010
6,61,5,0.157531
6,62,6,0.148180
6,63,5,0.143561
6,64,0,0.147662
6,65,6,0.130859
6,66,6,0.129542
6,67,0,0.119710
6,68,7,0.118731
6,69,0,0.102101
6,70,7,0.103255
6,71,0,0.090246
6,72,7,0.094685
6,73,0,0.079618
6,74,7,0.084170
6,75,6,0.070587
6,76,7,0.059776
6,77,0,0.070254
6,78,0,0.047699
6,79,7,0.052967
6,80,8,0.054538
6,81,7,0.041294
6,82,8,0.045402
6,83,7,0.027150
6,84,8,0.040961
6,85,0,0.021523
6,86,9,0.035065
6,87,8,0.016710
6,88,9,0.026300
6,89,8,0.010818
6,90,9,0.014401
6,91,0,0.010651
6,92,2,0.002049
6,93,9,0.005198
6,94,10,0.013853
6,95,4,0.001518
6,96,10,0.012918
6,97,0,0.000000
6,98,10,0.011481
6,99,2,-0.000000
7,0,5,0.534160
7,1,7,0.551489
7,2,5,0.544915
7,3,0,0.542495
7,4,0,0.529823
7,5,7,0.527584
7,6,7,0.530953
7,7,0,0.510058
7,8,7,0.516157
7,9,0,0.523291
7,10,6,0.493360
7,11,9,0.486279
7,12,3,0.478376
7,13,8,0.502560
7,14,0,0.472304
7,15,0,0.489942
7,16,10,0.537492
7,17,0,0.472252
7,18,0,0.463562
7,19,0,0.451067
7,20,0,0.537428
7,21,0,0.469806
7,22,7,0.457778
7,23,0,0.459163
7,24,0,0.543016
7,25,0,0.449346
7,26,0,0.420648
7,27,0,0.437731
7,28,0,0.386400
7,29,2,0.385026
7,30,2,0.394066
7,31,0,0.376335
7,32,2,0.371875
7,33,4,0.358575
7,34,3,0.364729
7,35,0,0.341363
7,36,3,0.350631
7,37,6,0.334183
7,38,3,0.333363
7,39,0,0.323315
7,40,3,0.325989
7,41,3,0.313959
7,42,0,0.283871
7,43,4,0.294745
7,44,4,0.292886
7,45,4,0.282531
7,46,0,0.303128
7,47,0,0.367538
7,48,4,0.267946
7,49,0,0.249625
7,50,4,0.252207
7,51,4,0.234645
7,52,4,0.229928
7,53,4,0.222921
7,54,5,0.214868
7,55,4,0.214145
7,56,0,0.198671
7,57,4,0.186514
7,58,5,0.186993
7,59,4,0.175661
7,60,5,0.168920
7,61,4,0.162030
7,62,6,0.159511
7,63,0,0.167139
7,64,6,0.147178
7,65,5,0.136455
7,66,6,0.135699
7,67,0,0.114712
7,68,6,0.115156
7,69,6,0.109881
7,70,0,0.087597
7,71,6,0.095860
7,72,7,0.094029
7,73,6,0.085945
7,74,0,0.074436
7,75,6,0.070770
7,76,0,0.069934
7,77,0,0.054360
7,78,7,0.054452
7,79,7,0.054680
7,80,8,0.048864
7,81,7,0.036926
7,82,8,0.042218
7,83,7,0.036793
7,84,0,0.020949
7,85,8,0.033039
7,86,8,0.026797
7,87,8,0.026306
7,88,9,0.021911
7,89,8,0.014224
7,90,9,0.016198
7,91,1,0.004335
7,92,9,0.014113
7,93,8,0.005412
7,94,10,0.014183
7,95,3,0.001653
7,96,10,0.013865
7,97,0,0.000000
7,98,0,-0.000000
7,99,1,-0.000000
8,0,6,0.559690
8,1,7,0.571011
8,2,5,0.542959
8,3,6,0.547350
8,4,7,0.541159
8,5,7,0.533026
8,6,0,0.527028
8,7,6,0.526827
8,8,8,0.529049
8,9,6,0.514303
8,10,10,0.517267
8,11,0,0.493210
8,12,9,0.502144
8,13,4,0.470441
8,14,7,0.481196
8,15,4,0.484515
8,16,0,0.479093
8,17,0,0.471513
8,18,10,0.530563
8,19,5,0.450247
8,20,1,0.443424
8,21,0,0.472757
8,22,0,0.554662
8,23,0,0.498877
8,24,7,0.437123
8,25,0,0.417983
8,26,6,0.413851
8,27,0,0.406748
8,28,0,0.408685
8,29,0,0.416717
8,30,2,0.384976
8,31,0,0.429474
8,32,2,0.382943
8,33,0,0.398253
8,34,3,0.360331
8,35,0,0.374571
8,36,3,0.363423
8,37,0,0.334449
8,38,3,0.344124
8,39,0,0.344970
8,40,3,0.334984
8,41,0,0.306200
8,42,3,0.321526
8,43,0,0.305262
8,44,3,0.298234
8,45,4,0.280516
8,46,4,0.288184
8,47,4,0.263924
8,48,5,0.247992
8,49,0,0.258672
8,50,4,0.265443
8,51,0,0.237402
8,52,4,0.245441
8,53,3,0.226085
8,54,5,0.228143
8,55,0,0.193514
8,56,5,0.213708
8,57,4,0.197576
8,58,5,0.183071
8,59,0,0.189301
8,60,5,0.184508
8,61,4,0.163055
8,62,0,0.165047
8,63,0,0.144920
8,64,6,0.166155
8,65,0,0.130076
8,66,6,0.146341
8,67,5,0.123513
8,68,6,0.131152
8,69,0,0.109351
8,70,6,0.114280
8,71,6,0.103134
8,72,7,0.088883
8,73,6,0.085588
8,74,7,0.090838
8,75,6,0.077502
8,76,10,0.053057
8,77,6,0.060111
8,78,7,0.072019
8,79,6,0.047016
8,80,7,0.058507
8,81,7,0.045191
8,82,8,0.051536
8,83,1,0.024849
8,84,8,0.048197
8,85,7,0.024706
8,86,8,0.027850
8,87,8,0.016796
8,88,9,0.027486
8,89,0,0.013199
8,90,1,0.006439
8,91,8,0.009768
8,92,9,0.016046
8,93,8,0.006028
8,94,9,0.014169
8,95,3,0.002013
8,96,10,0.014198
8,97,0,0.000000
8,98,10,0.013868
8,99,1,-0.000000
9,0,7,0.584032
9,1,7,0.569907
9,2,6,0.575966
9,3,4,0.538734
9,4,0,0.535826
9,5,0,0.532047
9,6,7,0.555268
9,7,7,0.550051
9,8,7,0.528965
9,9,8,0.531830
9,10,0,0.508410
9,11,9,0.529879
9,12,4,0.485727
9,13,7,0.498743
9,14,0,0.495231
9,15,3,0.485537
9,16,4,0.493686
9,17,4,0.476709
9,18,10,0.494976
9,19,7,0.483873
9,20,10,0.548238
9,21,6,0.493400
9,22,6,0.462059
9,23,7,0.454307
9,24,1,0.436827
9,25,8,0.453437
9,26,1,0.424246
9,27,7,0.422192
9,28,8,0.432881
9,29,1,0.404638
9,30,1,0.402761
9,31,8,0.390693
9,32,9,0.400682
9,33,4,0.360776
9,34,2,0.394397
9,35,6,0.367177
9,36,2,0.365060
9,37,10,0.426598
9,38,10,0.378989
9,39,10,0.354989
9,40,4,0.321227
9,41,3,0.324715
9,42,3,0.330873
9,43,3,0.311408
9,44,3,0.319954
9,45,3,0.289205
9,46,4,0.309325
9,47,2,0.269642
9,48,4,0.282088
9,49,4,0.263489
9,50,4,0.266020
9,51,4,0.255234
9,52,4,0.250280
9,53,3,0.252896
9,54,0,0.225897
9,55,4,0.222091
9,56,5,0.223577
9,57,4,0.205919
9,58,5,0.212137
9,59,4,0.182393
9,60,5,0.209028
9,61,0,0.168164
9,62,5,0.180917
9,63,5,0.168547
9,64,5,0.165619
9,65,5,0.158695
9,66,6,0.148456
9,67,5,0.151161
9,68,8,0.109780
9,69,6,0.123951
9,70,6,0.128891
9,71,6,0.110167
9,72,6,0.117489
9,73,6,0.088885
9,74,7,0.112433
9,75,7,0.068180
9,76,7,0.089201
9,77,6,0.078037
9,78,7,0.077832
9,79,6,0.069099
9,80,7,0.064079
9,81,7,0.065648
9,82,10,0.037200
9,83,7,0.048668
9,84,8,0.052834
9,85,7,0.040858
9,86,8,0.042560
9,87,0,0.025528
9,88,8,0.036179
9,89,7,0.013839
9,90,9,0.024455
9,91,8,0.016591
9,92,9,0.020861
9,93,8,0.011834
9,94,9,0.018649
9,95,3,0.002140
9,96,10,0.000010
9,97,0,0.000000
9,98,10,0.014203
9,99,1,-0.000000
10,0,6,0.585945
10,1,8,0.582624
10,2,5,0.561843
10,3,7,0.582381
10,4,0,0.537356
10,5,7,0.548624
10,6,7,0.563673
10,7,7,0.556957
10,8,0,0.549753
10,9,5,0.520313
10,10,9,0.544347
10,11,3,0.491590
10,12,8,0.508358
10,13,7,0.510784
10,14,7,0.496133
10,15,3,0.494440
10,16,4,0.490011
10,17,10,0.514934
10,18,0,0.481021
10,19,0,0.479388
10,20,5,0.462572
10,21,6,0.496891
10,22,10,0.565802
10,23,7,0.487381
10,24,7,0.476663
10,25,1,0.428329
10,26,7,0.433992
10,27,7,0.426670
10,28,0,0.434400
10,29,9,0.464244
10,30,8,0.412928
10,31,9,0.414583
10,32,2,0.407082
10,33,8,0.383366
10,34,0,0.403778
10,35,10,0.428341
10,36,2,0.383603
10,37,0,0.361533
10,38,0,0.593892
10,39,0,0.440950
10,40,3,0.341473
10,41,0,0.343679
10,42,3,0.330698
10,43,3,0.320739
10,44,3,0.315886
10,45,10,0.321873
10,46,0,0.283404
10,47,4,0.285812
10,48,3,0.300107
10,49,0,0.268185
10,50,4,0.277373
10,51,4,0.245108
10,52,4,0.278484
10,53,4,0.227316
10,54,4,0.247078
10,55,4,0.230219
10,56,4,0.227740
10,57,4,0.215687
10,58,5,0.215096
10,59,4,0.205541
10,60,0,0.177682
10,61,4,0.182867
10,62,5,0.188810
10,63,4,0.169473
10,64,5,0.181845
10,65,5,0.148236
10,66,5,0.172940
10,67,5,0.125545
10,68,6,0.144276
10,69,0,0.132048
10,70,6,0.129147
10,71,6,0.118352
10,72,6,0.111993
10,73,6,0.114482
10,74,9,0.076145
10,75,6,0.091672
10,76,7,0.091640
10,77,6,0.079855
10,78,7,0.084856
10,79,0,0.064822
10,80,7,0.082336
10,81,7,0.044239
10,82,7,0.060998
10,83,7,0.049645
10,84,7,0.054288
10,85,7,0.043241
10,86,8,0.042530
10,87,7,0.035078
10,88,0,0.016551
10,89,8,0.022196
10,90,9,0.025124
10,91,8,0.018219
10,92,9,0.018329
10,93,0,0.010168
10,94,9,0.020499
10,95,0,0.008894
10,96,9,0.016151
10,97,0,0.000000
10,98,9,0.014177
10,99,0,0.000000
11,0,6,0.591381
11,1,6,0.577091
11,2,8,0.593003
11,3,0,0.540612
11,4,7,0.573286
11,5,0,0.542495
11,6,0,0.536106
11,7,7,0.564379
11,8,0,0.556576
11,9,8,0.553197
11,10,5,0.506790
11,11,8,0.521085
11,12,8,0.522656
11,13,7,0.507210
11,14,7,0.513439
11,15,3,0.493987
11,16,10,0.505215
11,17,0,0.500531
11,18,0,0.508428
11,19,0,0.496378
11,20,5,0.460793
11,21,5,0.469209
11,22,5,0.445338
11,23,7,0.517243
11,24,10,0.545386
11,25,8,0.485809
11,26,7,0.443819
11,27,7,0.442420
11,28,0,0.434188
11,29,0,0.433439
11,30,0,0.563914
11,31,10,0.435100
11,32,1,0.399466
11,33,10,0.432902
11,34,1,0.395593
11,35,0,0.426207
11,36,0,0.594284
11,37,10,0.395069
11,38,3,0.356141
11,39,9,0.350110
11,40,0,0.364289
11,41,0,0.333940
11,42,2,0.338585
11,43,3,0.317125
11,44,3,0.337046
11,45,4,0.290201
11,46,3,0.314622
11,47,3,0.292628
11,48,3,0.301710
11,49,0,0.322897
11,50,3,0.274806
11,51,10,0.276613
11,52,5,0.238030
11,53,0,0.255584
11,54,4,0.253307
11,55,3,0.234144
11,56,4,0.246739
11,57,4,0.210197
11,58,4,0.236748
11,59,0,0.209544
11,60,5,0.202428
11,61,4,0.187573
11,62,5,0.189851
11,63,4,0.179753
11,64,5,0.175191
11,65,5,0.177484
11,66,7,0.133766
11,67,5,0.149259
11,68,6,0.160889
11,69,5,0.129658
11,70,6,0.140584
11,71,5,0.110105
11,72,6,0.135957
11,73,6,0.085882
11,74,6,0.111397
11,75,5,0.096692
11,76,6,0.091983
11,77,5,0.084703
